Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7576666666666667,0.46920821114369504,0.22662889518413598,0.30563514804202485,0.5738637065284238
Random Forest,0.9883333333333333,0.9869375907111756,0.9631728045325779,0.974910394265233,0.9796247632078758
